"MMT","MY","MileGrpATC","prob_rate"
"Chrysler Pacifica",2019,1,0.00483937744636107
"Chrysler Pacifica",2019,2,0.00358424145016836
"Chrysler Pacifica",2019,3,0.0109647072071576
"Chrysler Pacifica",2020,1,0.0136305601100058
"Chrysler Pacifica",2020,2,0.00601366850808343
"Chrysler Pacifica",2020,3,0.00673626821544163
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2018,1,0.0439602925711665
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2018,2,0.0262290951894116
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2018,3,0.0375207272826837
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2019,1,0.0254419608077226
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2019,2,0.0157303346925156
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2019,3,0.0119985857543747
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2020,1,0.0291815729874233
"Chrysler Town & Country/Dodge Grand Caravan/Chrysler Voyager/Dodge Caravan",2020,3,0.0254159832960362
"Dodge Challenger",2018,1,0.00632756957686251
"Dodge Challenger",2018,2,0.00754818628887691
"Dodge Challenger",2018,3,0.00744358183472064
"Dodge Challenger",2019,1,0.00664840955034866
"Dodge Challenger",2019,2,0.00867311211478986
"Dodge Challenger",2019,3,0.0092335083098994
"Dodge Challenger",2020,1,0.0114596500722484
"Dodge Challenger",2020,2,0.0119442577053873
"Dodge Challenger",2020,3,0.01264217940786
"Dodge Charger",2018,1,0.00741743250452344
